0,1
0.1,1.105171
0.2,1.221403
0.3,1.349859
0.4,1.491825
0.5,1.648721
0.6,1.822119
0.7,2.013753
0.8,2.225541
0.9,2.459603
1,2.718282
1.1,3.004166
1.2,3.320117
1.3,3.669297
1.4,4.0552
1.5,4.481689
1.6,4.953032
1.7,5.473947
1.8,6.049647
1.9,6.685894
2,7.389056
2.1,8.16617
2.2,9.025013
2.3,9.974182
2.4,11.023176
2.5,12.182494
2.6,13.463738
2.7,14.879732
2.8,16.444647
2.9,18.174145
3,20.085537
3.1,22.197951
3.2,24.53253
3.3,27.112639
3.4,29.9641
3.5,33.115452
3.6,36.598234
3.7,40.447304
3.8,44.701184
3.9,49.402449
4,54.59815
4.1,60.340288
4.2,66.686331
4.3,73.699794
4.4,81.450869
4.5,90.017131
4.6,99.484316
4.7,109.947172
4.8,121.510418
4.9,134.28978
5,148.413159
